Name,PS1 Obs 1 Date,Date Row Last Modified,Aliases,Host Galaxy,SN RA,Dec (2000),Host RA,Host Dec (2000),"Host Galaxy Mag
(approx.)",Redshift position,Redshift origin,Heliocentric Redshift,Uncertainty,Original Reported Redshift,"Redshift 
Difference","Max light
(in Found_fits.fitres)",Good Spec @max?,Spectra Taken (dates),Kyle has SN spec?,Kyle has host spec?,Useful Link,Link to Spectroscopic Report,Notes,
2017gvp,9/25/17,10/9/17,ASASSN-17ms,UGC 12739,41:47.0,-01:21:05.26,41:46.3,-01:21:05.9,,Systemic,21cm Observations,0.022782,0.000021,0.023,0.000218,,,9/25/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017gvp,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=54389&objname=UGC%2012739&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017glx,9/16/17,9/21/17,PSP17B,NGC 6824,43:40.3,+56:06:36.30,43:40.7,+56:06:34.1,,Uncertain,GHASP,0.011828,0.000017,0.011,0.000828,,,9/4/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017glx,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=47589&objname=NGC%206824&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017grw,9/14/17,9/21/17,ASASSN-17lz,NGC 6018,57:29.7,+15:52:21.94,57:29.8,+15:52:21.43,,Systemic,Updated Zwicky Catalog,0.017462,0.000137,0.017,0.000462,,,9/14/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017grw,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=41923&objname=NGC%206018&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017glq,9/13/17,9/21/17,Gaia17cfi,IC208,08:28.0,+06:23:16.60,08:27.7,+06:23:41.7,,Uncertain,DiskMass Survey,0.01173,0.000002,0.012,0.00027,,,9/7/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017glq,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=5949&objname=IC%200208&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
ATLAS17kgv,9/12/17,9/21/17,2017glz,GALEXASC J001250.93-225147.8,12:51.2,-22:51:42.18,12:50.9,-22:51:48.3,,SN Lines,SNID,0.05,,0.05,0,,,9/11/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017glz,http://www.astronomerstelegram.org/?read=10746,,
2017gjn,9/3/17,9/15/17,Gaia17cdp,NGC 1067,43:48.4,+32:31:33.70,43:50.5,+32:30:42.8,,Systemic,21 cm observations,0.015104,0.000009,0.015,0.000104,,,9/2/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017gjn,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=7611&objname=NGC%201067&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017glb,9/3/17,9/15/17,ASASSN-17ll,2MASX J04512765-1657381,51:27.7,-16:57:38.28,04:51:27:65,-16:57:38.1,,Systemic,6dF Galaxy Survey DR3,0.037092,0.00015,0.037092,0,,,9/5/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017glb,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=315956&objname=2MASX%20J04512765-1657381&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
ATLAS17jxe,8/31/17,9/15/17,2017gin,2MASX J00555873-0937368,55:58.6,-09:37:35.36,55:58.7,-09:37:36.73,,Host Nucleus,SDSS DR14,0.0548711,0.000012,0.057,0.0021289,,,8/31/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017gin,https://dr14.sdss.org/optical/spectrum/view?plateid=658&mjd=52146&fiberid=344&run2d=26,,
ATLAS17jxd,8/31/17,9/15/17,2017gil,SDSS J011146.82+072145.9,11:46.9,+07:21:46.78,11:46.8,+07:21:45.9,,SN Lines,SNID,0.094,,0.094,0,,,8/29/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017gil,http://www.astronomerstelegram.org/?read=10676,,
2017gig,8/31/17,9/14/17,SMT17smz,Anonymous,36:32.9,-30:34:55.42,,,,SN Lines,SNID,0.065,,0.065,0,,,8/29/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017gig,http://www.astronomerstelegram.org/?read=10676,,
2017gfl,8/24/17,11/11/17,ATLAS17jof,Uncertain,55:18.5,-26:18:46.87,,,,SN Lines,SNID,0.077,,0.077,0,,,8/21/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017gfl,,nearby galaxies at z~0.081,
2017gav,8/19/17,8/31/17,ASASSN-17kt,SDSS J170321.30+452447.5,03:21.1,+45:24:48.64,03:21.3,+45:24:47.5,,SN Lines,SNID,0.033,N/A,0.033,0,,,8/16/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017gav,http://www.astronomerstelegram.org/?read=10646,,
Gaia17bvp,8/3/17,9/6/17,2017fqi,SDSS J003414.22-065138.8,34:14.2,-06:51:38.38,34:14.2,-06:51:38.8,,Host Lines from SN position,ATEL 10609,0.086,N/A,0.086,0,,,8/26/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017fqi,http://www.astronomerstelegram.org/?read=10609,MMT spectrum markedly different from ATEL redshift,
2017fut,8/1/17,9/14/17,,CGCG 459-062,28:58.8,+19:33:55,28:58.3,+19:33:54.8,,Systemic,21-cm observations,0.0428,0.000017,0.042,0.0008,,yes,8/2/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017fut,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=4058&objname=CGCG%20459-062&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017fqf,8/1/17,8/25/17,ASASSN-17jm,CGCG 413-042,06:14.8,+09:38:58.42,06:15.3,+09:38:52,,Systemic,Updated Zwicky Catalog,0.030855,0.000127,0.03,0.000855,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2017fqf,https://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=5840&objname=CGCG%20413-042&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
ASASSN-17jq,7/30/17,8/25/17,2017fra,SDSS J153151.40+372445.8,31:51.6,+37:24:45.18,31:51.4,+37:24:45.85,,Host Nucleus,SDSS DR13,0.029899,0.000024,0.03,0.000101,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2017fra,https://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=7714779&objname=SDSS%20J153151.40%2B372445.8&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017fnz,7/26/17,9/6/17,ATLAS17ite,GALEXASC J222942.86+114818.1,29:42.9,+11:48:16.70,29:42.8,+11:48:18,,Host Lines from SN position,ATEL 10593,0.081,,0.081,0,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2017fnz,http://www.astronomerstelegram.org/?read=10593,MMT spectrum markedly different from ATEL redshift,
2017fms,7/22/17,9/18/17,,IC 1371,20:14.6,-04:52:51.30,,-04:52:36,,Host Nucleus,1999A&AS..140..327M,0.030361,0.000057,0.03,0.000361,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2017fms,https://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=49941&objname=IC%201371&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017fmz,7/22/17,3/26/19,ATLAS17ipa,,00:51.4,-01:50:24.27,,,,Uncertain,ATEL 10582,0.028,,0.028,0,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2017fmz,http://www.astronomerstelegram.org/?read=10582,http://ned.ipac.caltech.edu/cgi-bin/objsearch?search_type=Obj_id&objid=50933&objname=2&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1,
2017fgc,7/13/17,8/25/17,DLT17bx,NGC 474,20:14.4,+03:24:09.96,20:06.7,+03:24:55,,Systemic,Updated Zwicky Catalog,0.007739,0.00013,0.008,0.000261,,,7/11/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017fgc,https://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=58065&objname=NGC%200474&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017fbs,7/10/17,8/30/17,PS17dpm,PGC 54943,23:19.5,+08:36:58.60,23:20.1,+08:37:05,,Host Nucleus,SDSS DR13,0.03576,0.000012,0.036,0.00024,,,,no,no,https://wis-tns.weizmann.ac.il/object/2017fbs,https://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=40674&objname=CGCG%20077-107&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017erp,6/16/17,8/25/17,,NGC 5861,09:14.8,-11:20:03.20,09:16.1,-11:19:18.0,,Systemic,21cm line observations,0.006174,0.000003,0.006174,0,,,6/13/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017erp,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=40016&objname=NGC%205861&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
SN2017dhp,5/9/17,8/25/17,"PS17clj, ATLAS17evj, AT2017din",SDSS J115413.89+114539.3,54:14.4,+11:45:40.5,54:13.9,+11:45:39.3,,Host Nucleus,SDSS DR13,0.0515946,0.000014,0.052,0.0004054,,,4/29/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017dhp,https://dr13.sdss.org/optical/spectrum/view?plateid=5384&mjd=55984&fiberid=888&run2d=v5_9_0,,
ASASSN-17fx,5/8/17,8/25/17,2017dwp,2MASX J12314373+3612331,31:43.7,+36:12:34.93,31:43.7,+36:12:33.1,,Host Nucleus,SDSS DR13,0.0333304,0.0000122,0.033364,0.0000336,,,5/5/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017dwp,https://dr13.sdss.org/optical/spectrum/view?plateid=2010&mjd=53495&fiberid=260&run2d=26,,
SN2017drh,5/4/17,8/25/17,DLT17aw,NGC 6384,32:26.1,+07:03:47.52,32:24.3,+07:03:37.0,,Systemic,21 cm Line observation,0.005554,0.000005,0.005554,0,,,5/3/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017drh,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=44942&objname=NGC%206384&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
Gaia17bci,5/4/17,8/25/17,2017dit,2MASX J15275941+4250592 ,27:58.9,+42:50:48.70,27:59.4,+42:50:59.2,,Uncertain,KPNO Spectroscopic Survey,0.01859,0.00015,0.01859,0,,,4/30/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017dit,http://ned.ipac.caltech.edu/cgi-bin/ex_refcode?refcode=2004AJ....127.1943G,,
ASASSN-17fd,4/25/17,8/25/17,2017dfb,ARK 481,39:05.0,+05:34:16.93,39:05.2,+05:34:17,,Host Nucleus,SDSS DR13,0.0259348,0.0000093,0.025955,0.0000202,,,4/22/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017dfb,https://dr13.sdss.org/optical/spectrum/view?plateid=4805&mjd=55715&fiberid=950&run2d=v5_9_0,,
PS17cjo,4/25/17,8/25/17,2017ddy,GALEXASC J125516.20-172854.5,55:15.9,-17:28:55.00,55:16.2,-17:28:54.5,,SN Lines,SNID,0.056,0.001,0.056,0,,,4/23/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017ddy,http://www.astronomerstelegram.org/?read=10315,,
PS17ckg,4/25/17,8/25/17,"2017deu, MLS170504:131622+274135",SDSS J131621.63+274137.1,16:21.6,+27:41:35.30,16:21.6,+27:41:37.1,,SN Lines,SNID,0.05,0.001,0.05,0,,,4/23/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017deu,http://www.astronomerstelegram.org/?read=10315,,
SN2017dfu,4/25/17,8/25/17,ATLAS17esd,LEDA 897432,19:09.2,-16:29:44.5,19:09.1,-16:29:40,,SN Lines,SNID,0.045,0.001,0.045,0,,,4/22/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017dfu,http://www.astronomerstelegram.org/?read=10313,,
SN2017dez,4/25/17,8/25/17,ATLAS17erb,SDSS J162731.04+494141.0,27:30.9,+49:41:44.6,27:31.0,+49:41:41.0,,SN Lines,SNID,0.02468,0.001,0.043,0.01832,,,4/21/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017dez,http://www.astronomerstelegram.org/?read=10310,,
SN2017dgi,4/25/17,8/25/17,PTSS-17qjg,LCRS B100946.0-053912,12:15.7,-05:54:08.99,12:16.4,-05:54:04.6,,Systemic,6dF DR3,0.054261,0.00015,0.0545,0.000239,,,4/23/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017dgi,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=687083&objname=LCRS%20B100946.0-053912&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
ATLAS17eru,4/25/17,8/25/17,2017dft,2MASX J10573093-1450087,57:32.1,-14:50:06.0,57:30.9,-14:50:08.68,,Systemic,6dF DR3,0.026375,0.00015,0.025,0.001375,,,4/22/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017dft,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=324263&objname=2MASX%20J10573093-1450087&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
ATLAS17dzg,4/22/17,8/25/17,2017dae,SDSS J090834.64+483625.9,08:34.8,+48:36:26.06,08:34.6,+48:36:25.9,,Host Nucleus,SDSS DR13,0.0521691,0.0000062,0.052,0.0001691,,,,yes,no,http://www.astronomerstelegram.org/?read=10294,https://dr13.sdss.org/optical/spectrum/view?plateid=765&mjd=52254&fiberid=95&run2d=26,,
AT2017dfq,4/22/17,8/25/17,ASASSN-17ff,NGC 3506,03:13.0,+11:04:40.87,03:13.0,+11:04:36.03,,Host Nucleus,SDSS DR13,0.0213741,0.00001,0.021358,0.0000161,,,4/21/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017dfq,https://dr13.sdss.org/optical/spectrum/view?plateid=5361&mjd=55973&fiberid=630&run2d=v5_9_0,,
SN2017cpu,4/4/17,8/25/17,ASASSN-17ej,2MASX J14075270+0938281,07:52.4,+09:38:29.76,07:52.7,+09:38:28.1,,Host Nucleus,SDSS DR13,0.0544045,0.0000099,0.054411,0.0000065,,,4/3/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017cpu,https://dr13.sdss.org/optical/spectrum/view?plateid=1809&mjd=53792&fiberid=544&run2d=26,,
SN2017cne,4/3/17,8/25/17,PTSS-17ntl,2MASX J15084277+0408473,08:42.9,+04:08:45.87,08:42.8,+04:08:47.3,,Host Nucleus,SDSS DR13,0.0337711,0.0000074,0.034,0.0002289,,,3/31/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017cne,https://dr13.sdss.org/optical/spectrum/view?plateid=590&mjd=52057&fiberid=344&run2d=26,,
SN2017coa,4/3/17,8/25/17,,SDSS J084955.19+560554.6,49:55.5,+56:05:57.00,49:55.2,+56:05:54.6,,SN Lines,SNID,0.04,0.003,0.045,0.005,,,3/31/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017coa,http://www.astronomerstelegram.org/?read=10235,,
PTSS-17niq,3/31/17,2/22/18,"PS17bww, 2017ckd",2MASX J14201616+1520386,20:16.7,+15:20:29.57,20:16.2,+15:20:39.11,,Host Nucleus,SDSS DR13,0.0682804,0.0000136,0.068,0.0002804,,,3/29/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017ckd,https://dr13.sdss.org/optical/spectrum/view?plateid=2746&mjd=54232&fiberid=489&run2d=26,,
SN2017ckx,3/31/17,8/25/17,ASASSN-17ee,UGC 04030 NED01,48:11.0,+28:13:49.04,48:11.0,+28:13:49.15,,Host Nucleus,SDSS DR13,0.0271585,0.0000053,0.027675,0.0005165,,no,3/29/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017ckx,https://dr13.sdss.org/optical/spectrum/view?plateid=4452&mjd=55536&fiberid=184&run2d=v5_9_0,,
SN2017ciy,3/29/17,8/25/17,ATLAS17daf,Uncertain,04:06.9,+25:03:09.95,04:07.2,+25:03:01.97,,Averaged,Average of assumed cluster members,0.037655,0.00105,0.04,0.002345,,,3/26/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017ciy,https://ned.ipac.caltech.edu/cgi-bin/objsearch?search_type=Near+Position+Search&in_csys=Equatorial&in_equinox=J2000.0&lon=256.00528d&lat=25.05409&radius=10.0&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,"Many nearby galaxies, possible cluster?",
SN2017cii,3/29/17,8/25/17,ASASSN-17du,SDSS J163319.96+234356.3,33:19.8,+23:43:51.6,33:20.0,+23:43:56.3,,Host Nucleus,SDSS DR13,0.0332378,0.0000074,0.04,0.0067622,,,3/26/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017cii,https://dr13.sdss.org/optical/spectrum/view?plateid=1571&mjd=53174&fiberid=337&run2d=26,,
2017ckf,3/27/17,8/25/17,ATLAS17dcd,Uncertain,57:49.3,-24:43:10.85,57:49.1,-24:43:08.64,,Host Nucleus,Keck spectra,0.04767,0.00011,0.05,0.00233,,,3/26/17,yes,yes,https://wis-tns.weizmann.ac.il/object/2017ckf,http://www.astronomerstelegram.org/?read=10212,,
ASASSN-17eb,3/27/17,8/25/17,2017cju,2MASX J15383353+1320423,38:34.1,+13:20:51.56,38:33.5,+13:20:42.78,,Host Nucleus,SDSS DR13,0.0492393,0.0000123,0.049334,0.0000947,,,3/25/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017cju,https://dr13.sdss.org/optical/spectrum/view?plateid=2768&mjd=54265&fiberid=39&run2d=26,,
2017cjv,3/27/17,8/25/17,"PS17cci, ATLAS17dda",LCRS B100813.8-033156,10:45.6,-03:46:39.91,10:45.6,-03:46:44.1,,Systemic,Las Campanas Redshift Survey,0.059528,0.00014,0.06,0.000472,,,3/26/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017cjv,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=686942&objname=LCRS%20B100813.8-033156&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
AT2017cfb,3/21/17,10/5/20,"PS17bwt, ATLAS17cof",CGCG 073-094 ,54:06.8,+09:24:45.57,54:08.8,+09:24:46,,Host Nucleus,SDSS DR13,0.0229038,0.0000141,0.0228,0.0001038,,,,no,no,https://wis-tns.weizmann.ac.il/object/2017cfb,https://dr13.sdss.org/optical/spectrum/view?plateid=1807&mjd=54175&fiberid=344&run2d=26,,
AT2017cfc,3/21/17,8/25/17,ATLAS17cog,UGC 08783,52:39.0,-02:00:08.26,52:39.8,-01:59:51.6,,Systemic,Updated Zwicky Catalog,0.024027,0.000163,0.03,0.005973,,,3/26/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017cfc,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=36034&objname=UGC%2008783&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
AT2017cfd,3/19/17,8/25/17,"Gaia17avm, kait-17I",IC 511,40:49.2,+73:29:15.14,40:50.5,+73:29:12.0,,Systemic,Updated Zwicky Catalog,0.012085,0.000163,0.012085,0,,,3/18/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017cfd,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=17945&objname=IC%200511&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017cbv,3/11/17,8/25/17,,NGC 5643,32:34.4,-44:08:02.74,32:40.7,-44:10:28,,Systemic,HIPASS Survey,0.003999,0.000007,0.003999,0,,,3/10/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017cbv,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=38210&objname=NGC%205643&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
PS17bii,2/24/17,8/25/17,AT2017azk,2MASX J11253836+0720042,25:38.3,+07:20:00.80,25:38.4,+07:20:03.81,,Host Nucleus,SDSS DR13,0.073391,0.0000174,0.07339,0.000001,,,2/24/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017azk,https://dr13.sdss.org/optical/spectrum/view?plateid=1618&mjd=53116&fiberid=273&run2d=26,Not on official list,
MASTEROTJ083256,2/24/17,2/25/17,, PGC 152788,32:56.9,-03:51:28.10,32:57.3,-03:51:29.59,,Systemic,6dF DR3,0.030584,0.00015,0.037,0.006416,,,,no,no,http://www.astronomerstelegram.org/?read=10074,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=308292&objname=2MASX%20J08325728-0351295&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,Not on official list,
ATLAS17bas,2/23/17,8/25/17,2017awz,SDSS J110735.45+225104.1,07:35.5,+22:51:04.57,07:35.5,+22:51:04.20,,Host Nucleus,SDSS DR13,0.02222,0.00001,0.022,0.00022,,,2/18/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017awz,https://dr13.sdss.org/optical/spectrum/view?plateid=6428&mjd=56279&fiberid=920&run2d=v5_9_0,"possible cluster, see Kyle for details",
ASASSN-17co,2/20/17,8/25/17,2017awk,UGC 11128,09:20.9,+17:18:56.29,09:20.6,+18:17:51.1,,Systemic,Updated Zwicky Catalog,0.018259,0.00015,0.018056,0.000203,,,2/18/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017awk,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=45823&objname=UGC%2011128&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,Not on official list,
ATLAS17axb,2/9/17,8/25/17,"2017adj, Gaia17amq",Uncertain,43:23.3,-19:56:37.13,43:23.0,-19:56:36.6,,Host Nucleus,Keck spectra,0.031652,0.000102,0.03,0.001652,,,2/7/17,yes,yes,https://wis-tns.weizmann.ac.il/object/2017adj,http://www.astronomerstelegram.org/?read=10056,Not on official list,
PS17akj,2/9/17,8/25/17,"Gaia17alw, 2017aaa",LCRS B134713.8-024957,49:49.2,-03:04:48.09,49:49.1,-03:04:48.51,,Host Nucleus,SDSS DR13,0.0468076,0.0000057,0.047,0.0001924,,,2/7/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017aaa,https://dr13.sdss.org/optical/spectrum/view?plateid=914&mjd=52721&fiberid=282&run2d=26,Not on official list,
AT2017ya,2/4/17,8/30/17,ATLAS17arb,SDSS J001644.50+152030.6,16:44.5,+15:20:31.52,16:44.5,+15:20:30.6,,Host Nucleus,SDSS DR13,0.0699603,0.0000183,0.07,0.0000397,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2017ya,https://dr13.sdss.org/optical/spectrum/view?plateid=752&mjd=52251&fiberid=586&run2d=26,,
ASASSN-17bs,2/3/17,8/30/17,"2017yh, Gaia17ahm",IC 1269,52:06.3,+21:33:58.32,52:06.0,+21:34:10.7,,Systemic,Updated Zwicky Catalog,0.020397,0.00002,0.020401,0.000004,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2017yh,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=45430&objname=IC%201269&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,Not on official list,
AT2017po,2/2/17,8/30/17,"ASASSN-17bh, Gaia17ait",CGCG 223-033 NED01,03:51.7,+39:59:25.40,03:50.5,+39:59:19.34,,Host Nucleus,SDSS DR13,0.0318278,0.0000072,0.032,0.0001722,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2017po,http://dr13.sdss.org/optical/spectrum/view?plateid=1335&mjd=52824&fiberid=243&run2d=26,Not on official list,
ASASSN-17bd,2/2/17,8/25/17,2017nk,2MASX J15591858+1336487,59:18.5,+13:36:51.26,59:18.6,+13:36:49.08,,Host Nucleus,SDSS DR13,0.0344498,0.0000096,0.034554,0.0001042,,,,no,no,https://wis-tns.weizmann.ac.il/object/2017nk,https://dr13.sdss.org/optical/spectrum/view?plateid=2521&mjd=54538&fiberid=81&run2d=26,Not on official list,
AT2017yk,2/2/17,9/7/17,ATLAS17asj,2MASX J09443215-1218233,44:31.8,-12:18:29.59,44:32.2,-12:18:23.5,,Systemic,6dF DR3,0.046439,0.00015,0.046,0.000439,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2017yk,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3654980&objname=2MASX%20J09443215-1218233&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,Not on official list,
AT2017wb,1/31/17,8/25/17,"ASASSN-17bo, PS17awj, Gaia17air",2MASX J11011991+7039548,01:19.5,+70:39:54.76,01:19.9,+70:39:55.0,,Host Lines from SN position,FLOYDS spectra,0.0306533,0.000084,0.03,0.0006533,,,1/30/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017wb,http://www.astronomerstelegram.org/?read=10026,Not on official list,
AT2017oz,1/30/17,8/30/17,ATLAS17amc,SDSS J140641.53+301906.5,06:41.6,+30:19:07.49,06:41.5,+30:19:06.61,,Host Nucleus,SDSS DR13,0.0556886,0.0000099,0.056,0.0003114,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2017oz,https://dr13.sdss.org/optical/spectrum/view?plateid=2122&mjd=54178&fiberid=562&run2d=26,Not on official list,
ATLAS17ajn,1/30/17,8/25/17,2017lv, ESO 440-G1,44:26.5,-28:27:27.22,44:25.9,-28:27:44,,Uncertain,FLASH Redshift survey,0.028706,0.000033,0.029,0.000294,,,1/26/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017lv,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=27708&objname=ESO%20440-%20G%20001&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,Not on official list,
ATLAS17ajs,1/29/17,8/25/17,"PS17bhg, 2017me",KUG 1125+276,27:54.5,+27:20:44.7,27:55.2,+27:20:49.28,,Host Nucleus,SDSS DR13,0.0326547,0.0000069,0.033,0.0003453,,,,no,no,https://star.pst.qub.ac.uk/sne/ps13pi/psdb/candidate/1112754541272044900/,https://dr13.sdss.org/optical/spectrum/view?plateid=2216&mjd=53795&fiberid=636&run2d=26,Not on official list,
SN2017mu,1/28/17,8/25/17,"PTSS-17dgm, PS17qr",GALEXASC J093036.72+212437.4,30:36.6,+21:24:42.32,30:36.7,+21:24:37.4,,Host Lines from SN position,Ha and SII lines,0.081617,0.000425,0.0815,0.000117,,,1/26/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017mu,http://www.astronomerstelegram.org/?read=10018,Not on official list,
